,filename,i1,j1
215,output10_16_1,2,6
216,output10_17_0,4,16
217,output10_17_1,4,6
218,output10_18_0,4,16
219,output10_18_1,2,6
220,output10_19_0,7,14
221,output10_19_1,3,8
222,output10_1_0,9,16
223,output10_1_1,18,10
224,output10_20_0,9,16
225,output10_20_1,16,4
226,output10_21_0,9,16
227,output10_21_1,16,8
228,output10_22_0,9,16
229,output10_22_1,15,8
230,output10_23_0,6,11
231,output10_23_1,15,5
232,output10_24_0,12,1
233,output10_24_1,15,9
234,output10_25_0,12,1
235,output10_25_1,16,5
236,output10_26_0,14,2
237,output10_26_1,15,8
238,output10_27_0,11,1
239,output10_27_1,16,5
240,output10_28_0,14,3
241,output10_28_1,16,5
242,output10_29_0,14,3
243,output10_29_1,16,4
244,output10_2_0,9,16
245,output10_2_1,14,12
246,output10_30_0,16,4
247,output10_30_1,15,2
248,output10_31_0,16,4
249,output10_31_1,16,4
250,output10_32_0,18,3
251,output10_32_1,16,4
252,output10_33_0,18,3
253,output10_33_1,16,4
254,output10_34_0,17,5
255,output10_34_1,16,4
256,output10_35_0,17,5
257,output10_35_1,16,5
258,output10_36_0,17,5
259,output10_36_1,11,5
260,output10_37_0,17,5
261,output10_37_1,12,5
262,output10_38_0,14,10
263,output10_38_1,11,3
264,output10_39_0,14,10
265,output10_39_1,12,4
266,output10_3_0,9,16
267,output10_3_1,14,12
268,output10_40_0,14,10
269,output10_40_1,12,7
270,output10_41_0,14,10
271,output10_41_1,11,5
272,output10_42_0,17,13
273,output10_42_1,11,5
274,output10_43_0,17,2
275,output10_43_1,9,5
276,output10_44_0,14,3
277,output10_44_1,12,9
278,output10_45_0,14,4
279,output10_45_1,11,8
280,output10_46_0,14,4
281,output10_46_1,11,9
282,output10_47_0,16,4
283,output10_47_1,10,10
284,output10_48_0,16,4
285,output10_48_1,10,10
286,output10_49_0,8,7
287,output10_49_1,9,10
288,output10_4_0,9,18
289,output10_4_1,17,5
290,output10_50_0,8,7
291,output10_50_1,10,13
292,output10_51_0,9,8
293,output10_51_1,10,13
294,output10_52_0,8,8
295,output10_52_1,8,14
296,output10_53_0,16,9
297,output10_53_1,6,11
298,output10_54_0,6,11
299,output10_54_1,9,16
300,output10_55_0,10,13
301,output10_55_1,6,14
302,output10_56_0,8,14
303,output10_56_1,5,14
304,output10_57_0,8,14
305,output10_57_1,5,15
306,output10_58_0,8,14
307,output10_58_1,10,13
308,output10_59_0,8,15
309,output10_59_1,4,16
310,output10_5_0,3,18
311,output10_5_1,14,10
312,output10_60_0,8,15
313,output10_60_1,12,15
314,output10_61_0,8,14
315,output10_61_1,6,11
316,output10_62_0,9,16
317,output10_62_1,1,9
318,output10_63_0,9,16
319,output10_63_1,6,14
320,output10_64_0,9,16
321,output10_64_1,5,14
322,output10_65_0,9,16
323,output10_65_1,2,11
324,output10_66_0,9,18
325,output10_66_1,3,12
326,output10_67_0,10,18
327,output10_67_1,5,12
328,output10_68_0,13,17
329,output10_68_1,1,15
330,output10_69_0,17,13
331,output10_69_1,5,14
332,output10_6_0,4,16
333,output10_6_1,15,10
334,output10_70_0,15,15
335,output10_70_1,4,16
336,output10_71_0,8,14
337,output10_71_1,2,18
338,output10_72_0,8,14
339,output10_72_1,0,15
340,output10_73_0,8,15
341,output10_73_1,12,7
342,output10_74_0,8,14
343,output10_74_1,11,9
344,output10_75_0,9,16
345,output10_75_1,11,9
346,output10_76_0,9,16
347,output10_76_1,10,13
348,output10_77_0,9,16
349,output10_77_1,10,12
350,output10_78_0,7,18
351,output10_78_1,10,13
352,output10_79_0,7,14
353,output10_79_1,15,10
354,output10_7_0,1,15
355,output10_7_1,15,10
356,output10_80_0,7,14
357,output10_80_1,11,15
358,output10_81_0,7,15
359,output10_81_1,14,12
360,output10_82_0,7,15
361,output10_82_1,15,12
362,output10_83_0,16,8
363,output10_83_1,13,17
364,output10_84_0,15,8
365,output10_84_1,5,14
366,output10_85_0,11,15
367,output10_85_1,5,14
368,output10_86_0,9,16
369,output10_86_1,6,14
370,output10_87_0,17,13
371,output10_87_1,5,16
372,output10_88_0,17,13
373,output10_88_1,6,15
374,output10_89_0,15,13
375,output10_89_1,6,14
376,output10_8_0,6,11
377,output10_8_1,15,10
378,output10_90_0,15,13
379,output10_90_1,5,14
380,output10_91_0,17,5
381,output10_91_1,5,14
382,output10_92_0,16,17
383,output10_92_1,5,10
384,output10_93_0,13,17
385,output10_93_1,6,11
386,output10_94_0,17,9
387,output10_94_1,2,11
388,output10_95_0,16,13
389,output10_95_1,5,14
390,output10_96_0,14,17
391,output10_96_1,5,14
392,output10_97_0,14,18
393,output10_97_1,5,15
394,output10_98_0,16,17
395,output10_98_1,5,15
396,output10_99_0,16,18
397,output10_99_1,7,14
398,output10_9_0,5,10
399,output10_9_1,15,12
400,output11_0_0,10,18
401,output11_0_1,15,10
402,output11_10_0,6,11
403,output11_10_1,16,13
404,output11_11_0,6,11
405,output11_11_1,16,12
406,output11_12_0,7,14
407,output11_12_1,16,12
408,output11_13_0,7,14
409,output11_13_1,16,12
410,output11_14_0,7,14
411,output11_14_1,16,15
412,output11_15_0,5,14
413,output11_15_1,4,6
414,output11_16_0,9,16
415,output11_16_1,4,6
416,output11_17_0,5,14
417,output11_17_1,4,6
418,output11_18_0,10,18
419,output11_18_1,4,6
420,output11_19_0,7,18
421,output11_19_1,16,5
422,output11_1_0,9,18
423,output11_1_1,15,10
424,output11_20_0,9,16
425,output11_20_1,16,5
426,output11_21_0,9,16
427,output11_21_1,15,8
428,output11_22_0,6,11
429,output11_22_1,15,8
430,output11_23_0,6,11
431,output11_23_1,15,9
432,output11_24_0,15,0
433,output11_24_1,16,5
434,output11_25_0,15,1
435,output11_25_1,16,5
436,output11_26_0,12,0
437,output11_26_1,17,4
438,output11_27_0,11,1
439,output11_27_1,17,4
440,output11_28_0,14,3
441,output11_28_1,17,5
442,output11_29_0,16,4
443,output11_29_1,16,5
444,output11_2_0,9,16
445,output11_2_1,10,15
446,output11_30_0,16,4
447,output11_30_1,17,3
448,output11_31_0,16,4
449,output11_31_1,17,4
450,output11_32_0,16,4
451,output11_32_1,17,4
452,output11_33_0,18,3
453,output11_33_1,17,3
454,output11_34_0,17,5
455,output11_34_1,14,4
456,output11_35_0,17,5
457,output11_35_1,15,5
458,output11_36_0,17,5
459,output11_36_1,12,5
460,output11_37_0,17,5
461,output11_37_1,12,5
462,output11_38_0,14,10
463,output11_38_1,12,5
464,output11_39_0,14,10
465,output11_39_1,11,6
466,output11_3_0,9,16
467,output11_3_1,14,12
468,output11_40_0,14,10
469,output11_40_1,12,5
470,output11_41_0,14,10
471,output11_41_1,12,5
472,output11_42_0,15,12
473,output11_42_1,12,5
474,output11_43_0,16,4
475,output11_43_1,11,5
476,output11_44_0,16,4
477,output11_44_1,12,7
478,output11_45_0,16,4
479,output11_45_1,11,7
480,output11_46_0,16,4
481,output11_46_1,11,7
482,output11_47_0,16,4
483,output11_47_1,9,8
484,output11_48_0,11,5
485,output11_48_1,6,7
486,output11_49_0,11,7
487,output11_49_1,6,7
488,output11_4_0,9,18
489,output11_4_1,16,9
490,output11_50_0,11,8
491,output11_50_1,10,13
492,output11_51_0,9,7
493,output11_51_1,10,13
494,output11_52_0,11,8
495,output11_52_1,6,11
496,output11_53_0,11,9
497,output11_53_1,6,11
498,output11_54_0,11,13
499,output11_54_1,6,14
500,output11_55_0,10,13
501,output11_55_1,7,14
502,output11_56_0,10,13
503,output11_56_1,6,14
504,output11_57_0,8,14
505,output11_57_1,5,15
506,output11_58_0,8,14
507,output11_58_1,4,16
508,output11_59_0,8,14
509,output11_59_1,5,15
510,output11_5_0,3,18
511,output11_5_1,12,15
512,output11_60_0,9,16
513,output11_60_1,3,11
514,output11_61_0,9,16
515,output11_61_1,6,11
516,output11_62_0,9,16
517,output11_62_1,1,7
518,output11_63_0,9,16
519,output11_63_1,1,7
520,output11_64_0,9,16
521,output11_64_1,6,14
522,output11_65_0,9,18
523,output11_65_1,3,12
524,output11_66_0,9,18
525,output11_66_1,4,12
526,output11_67_0,10,18
527,output11_67_1,0,12
528,output11_68_0,13,18
529,output11_68_1,5,14
530,output11_69_0,10,18
531,output11_69_1,3,15
532,output11_6_0,1,15
533,output11_6_1,14,10
534,output11_70_0,10,13
535,output11_70_1,4,16
536,output11_71_0,10,13
537,output11_71_1,3,18
538,output11_72_0,10,13
539,output11_72_1,3,18
540,output11_73_0,9,14
541,output11_73_1,12,9
542,output11_74_0,9,14
543,output11_74_1,12,8
544,output11_75_0,9,16
545,output11_75_1,11,10
546,output11_76_0,9,16
547,output11_76_1,10,13
548,output11_77_0,9,16
549,output11_77_1,10,13
550,output11_78_0,9,16
551,output11_78_1,10,13
552,output11_79_0,8,14
553,output11_79_1,14,12
554,output11_7_0,7,11
555,output11_7_1,15,10
556,output11_80_0,8,14
557,output11_80_1,15,13
558,output11_81_0,9,16
559,output11_81_1,13,16
560,output11_82_0,9,16
561,output11_82_1,6,11
562,output11_83_0,9,16
563,output11_83_1,6,11
564,output11_84_0,9,18
565,output11_84_1,6,14
566,output11_85_0,11,15
567,output11_85_1,6,14
568,output11_86_0,17,13
569,output11_86_1,6,14
570,output11_87_0,17,13
571,output11_87_1,7,15
572,output11_88_0,17,13
573,output11_88_1,7,14
574,output11_89_0,17,13
575,output11_89_1,5,14
576,output11_8_0,6,11
577,output11_8_1,15,10
578,output11_90_0,16,13
579,output11_90_1,5,14
580,output11_91_0,15,15
581,output11_91_1,5,14
582,output11_92_0,18,15
583,output11_92_1,5,14
584,output11_93_0,14,16
585,output11_93_1,6,11
586,output11_94_0,16,13
587,output11_94_1,5,11
588,output11_95_0,17,13
589,output11_95_1,6,14
590,output11_96_0,14,17
591,output11_96_1,6,14
592,output11_97_0,14,16
593,output11_97_1,5,15
594,output11_98_0,16,17
595,output11_98_1,5,15
596,output11_99_0,18,17
597,output11_99_1,5,15
598,output11_9_0,5,10
599,output11_9_1,15,12
600,output12_0_0,10,18
601,output12_0_1,15,12
602,output12_10_0,7,11
603,output12_10_1,16,13
604,output12_11_0,8,14
605,output12_11_1,17,13
606,output12_12_0,8,14
607,output12_12_1,17,13
608,output12_13_0,8,14
609,output12_13_1,17,13
610,output12_14_0,8,15
611,output12_14_1,17,13
612,output12_15_0,9,16
613,output12_15_1,7,4
614,output12_16_0,9,16
615,output12_16_1,4,6
616,output12_17_0,9,18
617,output12_17_1,4,6
618,output12_18_0,9,18
619,output12_18_1,6,7
620,output12_19_0,10,18
621,output12_19_1,6,7
622,output12_1_0,12,15
623,output12_1_1,15,10
624,output12_20_0,9,16
625,output12_20_1,16,5
626,output12_21_0,9,16
627,output12_21_1,15,8
628,output12_22_0,9,18
629,output12_22_1,17,5
630,output12_23_0,9,16
631,output12_23_1,17,5
632,output12_24_0,15,0
633,output12_24_1,17,5
634,output12_25_0,2,2
635,output12_25_1,17,5
636,output12_26_0,12,0
637,output12_26_1,17,10
638,output12_27_0,11,1
639,output12_27_1,12,1
640,output12_28_0,15,3
641,output12_28_1,18,5
642,output12_29_0,17,4
643,output12_29_1,17,5
644,output12_2_0,6,15
645,output12_2_1,16,12
646,output12_30_0,17,4
647,output12_30_1,16,2
648,output12_31_0,17,4
649,output12_31_1,15,3
650,output12_32_0,17,5
651,output12_32_1,15,2
652,output12_33_0,17,5
653,output12_33_1,17,3
654,output12_34_0,17,5
655,output12_34_1,14,3
656,output12_35_0,17,5
657,output12_35_1,14,3
658,output12_36_0,17,5
659,output12_36_1,14,3
660,output12_37_0,16,8
661,output12_37_1,12,4
662,output12_38_0,16,8
663,output12_38_1,12,5
664,output12_39_0,15,10
665,output12_39_1,12,5
666,output12_3_0,9,18
667,output12_3_1,13,17
668,output12_40_0,14,9
669,output12_40_1,12,7
670,output12_41_0,14,10
671,output12_41_1,12,7
672,output12_42_0,17,4
673,output12_42_1,12,5
674,output12_43_0,17,4
675,output12_43_1,12,5
676,output12_44_0,17,4
677,output12_44_1,12,7
678,output12_45_0,16,4
679,output12_45_1,12,7
680,output12_46_0,17,4
681,output12_46_1,12,9
682,output12_47_0,17,5
683,output12_47_1,11,9
684,output12_48_0,12,7
685,output12_48_1,8,7
686,output12_49_0,12,7
687,output12_49_1,8,8
688,output12_4_0,4,16
689,output12_4_1,9,16
690,output12_50_0,11,7
691,output12_50_1,6,7
692,output12_51_0,12,9
693,output12_51_1,10,13
694,output12_52_0,11,10
695,output12_52_1,10,13
696,output12_53_0,12,7
697,output12_53_1,8,11
698,output12_54_0,11,10
699,output12_54_1,7,14
700,output12_55_0,10,13
701,output12_55_1,8,14
702,output12_56_0,10,13
703,output12_56_1,7,14
704,output12_57_0,10,13
705,output12_57_1,6,14
706,output12_58_0,10,13
707,output12_58_1,6,15
708,output12_59_0,9,16
709,output12_59_1,6,15
710,output12_5_0,5,15
711,output12_5_1,10,18
712,output12_60_0,9,16
713,output12_60_1,2,11
714,output12_61_0,11,15
715,output12_61_1,6,11
716,output12_62_0,11,15
717,output12_62_1,5,12
718,output12_63_0,9,16
719,output12_63_1,3,12
720,output12_64_0,9,16
721,output12_64_1,7,14
722,output12_65_0,10,18
723,output12_65_1,6,11
724,output12_66_0,10,18
725,output12_66_1,3,12
726,output12_67_0,10,18
727,output12_67_1,2,12
728,output12_68_0,10,18
729,output12_68_1,5,14
730,output12_69_0,10,18
731,output12_69_1,4,16
732,output12_6_0,5,14
733,output12_6_1,16,10
734,output12_70_0,11,10
735,output12_70_1,2,11
736,output12_71_0,10,13
737,output12_71_1,3,18
738,output12_72_0,10,13
739,output12_72_1,1,15
740,output12_73_0,10,13
741,output12_73_1,12,9
742,output12_74_0,8,14
743,output12_74_1,14,9
744,output12_75_0,9,16
745,output12_75_1,0,15
746,output12_76_0,9,16
747,output12_76_1,14,11
748,output12_77_0,9,16
749,output12_77_1,0,15
750,output12_78_0,9,18
751,output12_78_1,12,13
752,output12_79_0,8,14
753,output12_79_1,1,16
754,output12_7_0,6,11
755,output12_7_1,15,10
756,output12_80_0,7,14
757,output12_80_1,5,12
758,output12_81_0,9,16
759,output12_81_1,5,14
760,output12_82_0,9,16
761,output12_82_1,5,14
762,output12_83_0,9,16
763,output12_83_1,6,11
764,output12_84_0,10,18
765,output12_84_1,7,14
766,output12_85_0,11,15
767,output12_85_1,7,14
768,output12_86_0,13,17
769,output12_86_1,7,14
770,output12_87_0,13,17
771,output12_87_1,8,15
772,output12_88_0,10,15
773,output12_88_1,9,16
774,output12_89_0,15,12
775,output12_89_1,6,12
776,output12_8_0,6,11
777,output12_8_1,16,10
778,output12_90_0,17,13
779,output12_90_1,6,14
780,output12_91_0,15,13
781,output12_91_1,6,14
782,output12_92_0,17,13
783,output12_92_1,6,14
784,output12_93_0,18,17
785,output12_93_1,6,11
786,output12_94_0,18,17
787,output12_94_1,6,11
788,output12_95_0,14,17
789,output12_95_1,7,14
790,output12_96_0,16,17
791,output12_96_1,7,14
792,output12_97_0,18,15
793,output12_97_1,6,15
794,output12_98_0,18,17
795,output12_98_1,5,16
796,output12_99_0,18,17
797,output12_99_1,5,16
798,output12_9_0,6,11
799,output12_9_1,17,13
800,output13_0_0,10,18
801,output13_0_1,16,12
802,output13_10_0,8,14
803,output13_10_1,17,13
804,output13_11_0,8,14
805,output13_11_1,18,13
806,output13_12_0,10,13
807,output13_12_1,18,13
808,output13_13_0,9,14
809,output13_13_1,7,2
810,output13_14_0,9,16
811,output13_14_1,7,2
812,output13_15_0,9,16
813,output13_15_1,7,4
814,output13_16_0,9,16
815,output13_16_1,6,5
816,output13_17_0,9,18
817,output13_17_1,6,5
818,output13_18_0,9,18
819,output13_18_1,6,7
820,output13_19_0,9,18
821,output13_19_1,6,8
822,output13_1_0,10,18
823,output13_1_1,16,13
824,output13_20_0,9,16
825,output13_20_1,6,9
826,output13_21_0,9,16
827,output13_21_1,6,11
828,output13_22_0,9,18
829,output13_22_1,17,5
830,output13_23_0,10,18
831,output13_23_1,17,9
832,output13_24_0,3,0
833,output13_24_1,17,5
834,output13_25_0,3,1
835,output13_25_1,17,5
836,output13_26_0,2,3
837,output13_26_1,11,1
838,output13_27_0,11,1
839,output13_27_1,18,3
840,output13_28_0,14,3
841,output13_28_1,17,3
842,output13_29_0,18,3
843,output13_29_1,16,2
844,output13_2_0,7,15
845,output13_2_1,13,17
846,output13_30_0,17,4
847,output13_30_1,17,2
848,output13_31_0,18,4
849,output13_31_1,16,0
850,output13_32_0,17,5
851,output13_32_1,14,3
852,output13_33_0,17,5
853,output13_33_1,14,3
854,output13_34_0,17,5
855,output13_34_1,14,3
856,output13_35_0,17,5
857,output13_35_1,14,3
858,output13_36_0,17,5
859,output13_36_1,14,3
860,output13_37_0,15,8
861,output13_37_1,14,3
862,output13_38_0,16,10
863,output13_38_1,12,5
864,output13_39_0,14,10
865,output13_39_1,15,3
866,output13_3_0,6,14
867,output13_3_1,13,17
868,output13_40_0,15,9
869,output13_40_1,16,4
870,output13_41_0,15,10
871,output13_41_1,12,7
872,output13_42_0,18,3
873,output13_42_1,12,5
874,output13_43_0,14,4
875,output13_43_1,12,5
876,output13_44_0,14,4
877,output13_44_1,12,7
878,output13_45_0,14,4
879,output13_45_1,12,7
880,output13_46_0,17,5
881,output13_46_1,14,8
882,output13_47_0,17,5
883,output13_47_1,11,8
884,output13_48_0,12,7
885,output13_48_1,11,9
886,output13_49_0,12,7
887,output13_49_1,9,8
888,output13_4_0,3,18
889,output13_4_1,4,16
890,output13_50_0,12,7
891,output13_50_1,8,8
892,output13_51_0,12,7
893,output13_51_1,9,10
894,output13_52_0,12,7
895,output13_52_1,10,13
896,output13_53_0,14,12
897,output13_53_1,6,11
898,output13_54_0,12,10
899,output13_54_1,8,14
900,output13_55_0,12,13
901,output13_55_1,8,14
902,output13_56_0,10,13
903,output13_56_1,8,14
904,output13_57_0,10,13
905,output13_57_1,9,16
906,output13_58_0,10,13
907,output13_58_1,9,16
908,output13_59_0,11,15
909,output13_59_1,9,18
910,output13_5_0,5,15
911,output13_5_1,2,18
912,output13_60_0,11,15
913,output13_60_1,5,14
914,output13_61_0,10,13
915,output13_61_1,5,12
916,output13_62_0,11,15
917,output13_62_1,5,14
918,output13_63_0,11,15
919,output13_63_1,5,14
920,output13_64_0,9,16
921,output13_64_1,8,14
922,output13_65_0,10,18
923,output13_65_1,5,11
924,output13_66_0,10,18
925,output13_66_1,3,12
926,output13_67_0,10,18
927,output13_67_1,5,14
928,output13_68_0,10,18
929,output13_68_1,5,14
930,output13_69_0,10,18
931,output13_69_1,3,12
932,output13_6_0,5,14
933,output13_6_1,10,18
934,output13_70_0,9,16
935,output13_70_1,3,15
936,output13_71_0,6,14
937,output13_71_1,2,11
938,output13_72_0,10,13
939,output13_72_1,3,15
940,output13_73_0,10,13
941,output13_73_1,4,16
942,output13_74_0,10,13
943,output13_74_1,4,15
944,output13_75_0,11,15
945,output13_75_1,4,16
946,output13_76_0,9,16
947,output13_76_1,4,16
948,output13_77_0,9,16
949,output13_77_1,5,16
950,output13_78_0,10,18
951,output13_78_1,4,16
952,output13_79_0,10,13
953,output13_79_1,5,14
954,output13_7_0,5,14
955,output13_7_1,18,12
956,output13_80_0,8,14
957,output13_80_1,5,16
958,output13_81_0,9,16
959,output13_81_1,5,14
960,output13_82_0,9,16
961,output13_82_1,5,14
962,output13_83_0,10,18
963,output13_83_1,6,14
964,output13_84_0,10,18
965,output13_84_1,8,14
966,output13_85_0,10,18
967,output13_85_1,8,14
968,output13_86_0,14,17
969,output13_86_1,8,14
970,output13_87_0,13,17
971,output13_87_1,9,16
972,output13_88_0,13,18
973,output13_88_1,9,16
974,output13_89_0,13,17
975,output13_89_1,9,16
976,output13_8_0,6,11
977,output13_8_1,5,14
978,output13_90_0,15,10
979,output13_90_1,7,14
980,output13_91_0,18,12
981,output13_91_1,7,14
982,output13_92_0,16,15
983,output13_92_1,7,15
984,output13_93_0,18,17
985,output13_93_1,6,14
986,output13_94_0,18,17
987,output13_94_1,7,11
988,output13_95_0,16,17
989,output13_95_1,8,14
990,output13_96_0,16,17
991,output13_96_1,8,14
992,output13_97_0,18,17
993,output13_97_1,7,14
994,output13_98_0,18,17
995,output13_98_1,9,16
996,output13_99_0,18,17
997,output13_99_1,6,15
998,output13_9_0,7,11
999,output13_9_1,17,13
1000,output14_0_0,10,18
1001,output14_0_1,14,15
1002,output14_10_0,10,13
1003,output14_10_1,18,12
1004,output14_11_0,10,13
1005,output14_11_1,18,13
1006,output14_12_0,10,13
1007,output14_12_1,9,2
1008,output14_13_0,9,16
1009,output14_13_1,9,3
1010,output14_14_0,8,15
1011,output14_14_1,7,3
1012,output14_15_0,9,16
1013,output14_15_1,7,2
1014,output14_16_0,9,16
1015,output14_16_1,6,5
1016,output14_17_0,10,18
1017,output14_17_1,6,7
1018,output14_18_0,9,18
1019,output14_18_1,6,7
1020,output14_19_0,9,18
1021,output14_19_1,6,8
1022,output14_1_0,10,18
1023,output14_1_1,13,17
1024,output14_20_0,9,18
1025,output14_20_1,6,8
1026,output14_21_0,10,17
1027,output14_21_1,6,11
1028,output14_22_0,10,18
1029,output14_22_1,6,11
1030,output14_23_0,10,10
1031,output14_23_1,18,9
1032,output14_24_0,4,0
1033,output14_24_1,18,9
1034,output14_25_0,4,5
1035,output14_25_1,17,5
1036,output14_26_0,4,0
1037,output14_26_1,16,4
1038,output14_27_0,3,1
1039,output14_27_1,17,5
1040,output14_28_0,3,0
1041,output14_28_1,12,2
1042,output14_29_0,18,3
1043,output14_29_1,14,0
1044,output14_2_0,8,15
1045,output14_2_1,13,17
1046,output14_30_0,18,3
1047,output14_30_1,14,2
1048,output14_31_0,17,5
1049,output14_31_1,15,3
1050,output14_32_0,18,3
1051,output14_32_1,14,3
1052,output14_33_0,18,4
1053,output14_33_1,14,3
1054,output14_34_0,17,5
1055,output14_34_1,14,3
1056,output14_35_0,18,6
1057,output14_35_1,16,4
1058,output14_36_0,17,5
1059,output14_36_1,16,4
1060,output14_37_0,17,5
1061,output14_37_1,16,4
1062,output14_38_0,15,8
1063,output14_38_1,14,3
1064,output14_39_0,14,10
1065,output14_39_1,16,4
1066,output14_3_0,9,16
1067,output14_3_1,13,17
1068,output14_40_0,14,10
1069,output14_40_1,16,4
